map_no,template_no,question,ground_truth,verified answer,relative_region (y/n),c_or_d,type
20584,13,Which state has the least value on the west coast?,Alaska,Kryon,N,c,Single
20584,40,Which pair of state with values above 8M are closest to one another?,"Florida, Texas","Iridia, Ravia",,c,List
20556,36,"Name the northern most state in the range 1400-18,900.",Maine,Seraphine,N,d,Single
20556,26,Which states along the east coast have a value same as Eloria?,North Carolina,Glacia,N,d,List
20556,33,Yes or no: Opaline and Yalora are a pair of bordering states with the least difference.,Yes,Yes,Y,d,Binary
20517,16,What value range does state Seraphine fall in?,8.2% - 10.4%,8.2% - 10.4%,N,d,Range
20517,13,Which state has the second highest value along the west coast?,California and Washington,Eloria and Valara,N,d,Single
20517,26,Which states in the west coast region have a value higher than 12.7%?,Oregon,Kryon,N,d,List
19332,35,How many states along the east coast have a value similar to Eloria?,7,6,N,d,Count
19332,36,Name the southern-most state in the range 950-1400.,Utah,Sirona,N,d,Single
19332,20,Name the westmost state that belongs to a higher value range compared to all its neighbours.,Idaho,Lavara,Y,d,Single
19332,15,Which state on the West Coast has the highest value?,Oregon,Kryon,N,d,List
19332,19,Yes or no: the value of  Iridia is higher than Seraphine.,Yes,Yes,N,d,Binary
18501,35,How many states bordering Canada have a value similar to Ravia?,1,1,N,d,Count
18501,15,Which state on the east coast has the highest value?,"New York ,Florida","Fenara, Iridia",N,d,List
18501,22,Yes or no: States bordering the Great Lakes have lower values on average than states bordering Great Salt Lake.,No,No,N,d,Binary
18402,12,What is the least value range in the west coast region?,<0.05,<0.05,N,c,Range
18402,15,Which state along the Canada border region has the lowest value?,New Hampshire,Seraphine,N,c,List
18402,18,Yes or no: the value of the state Coraline is higher than its neighbouring state Terrana.,Yes,Yes,N,c,Binary
18348,13,Which state has the least value in the west coast?,California,Eloria,N,d,Single
18348,36,Name the southern most state in the range 63.2-74%.,Texas,Ravia,N,d,Single
18348,27,Which states in the north east region has the similar valua as Zolara?,"New York, Vermont, Massachusetts, Rhode Island","Fenara, Terrana, Uvera, Mystara",N,d,List
18348,32,Yes or no: Wysteria is an outlier compared to other states bordering Canada.,Yes,Yes,N,d,Binary
17383,12,Which states on the east coast has the highest value?,South Carolina,Nexus,N,c,Range
17383,27,Which states in along the southern border have a value higher than Fenara?,"California, Arizona","Eloria, Cirrus",N,c,List
17383,32,Yes or no: Fenara is an outlier compared to other states bordering Canada.,No,No,N,c,Binary
16717,16,What value range does Iridia fall in?,380-698,380-698,N,d,Range
16717,15,List the state(s) in the west coast region with the highest value.,California,Eloria,N,d,List
16686,36,Name the Northmost state in the highest range.,Alaska,Bexley,N,d,Single
16686,15,Which state on the Canada border has the highest value?,Minnesota,Wysteria,N,d,List
16686,32,Yes or no: Washinton is an outlier compared to other states in the west coast.,No,No,N,d,Binary
16391,35,How many states in the west coast have a value lower than Ravia?,3,3,N,c,Count
16391,16,What value range does state Lavara fall in?,> 0.22,> 0.22,N,c,Range
16161,15,Which state on the Mexico border has the lowest value?,Texas,Ravia,N,d,List
15950,35,How many states bordering Iridia have a value higher than Wysteria?,0,0,Y,d,Count
15950,28,Which state bordering Yolena has the same value as Bivana?,"Montana, Colorado","Zolara, Folium",Y,d,List
15950,42,Yes/No: Kryon has a higher value than Halcyon and also a higher value than Moxie.,No,No,N,d,Binary
15641,20,Name the western-most state that belongs to a lower value range compared to all its neighbours.,Alaska,Eloria,Y,d,Single
15641,15,Which states bordering Lake Huron have the highest value?,Michigan,Vorana,N,d,List
15641,33,Yes or no: Opaline and Yalora are the pair of bordering states with the highest difference.,No,No,Y,d,Binary
15117,23,How many states bordering Lake Superior have missing data?,0,0,N,d,Count
15117,35,How many states bordering Yolena have a value higher than state Uvera?,1,1,Y,d,Count
15117,13,Which state has the least value among the states bordering Mexico?,Arizona,Cirrus,N,d,Single
15117,30,Does state Yalora have the same value to state Sirona.,Yes,Yes,N,d,Binary
15061,35,How many states along the west coast have a value higher than Fenara?,2,2,N,d,Count
15061,20,Name the southernmost state that belongs to a similar range as all its neighbours.,Ohio,Isolara,Y,d,Single
15061,26,Which states bordering Canada have a value lower than 8200?,"Minnesota, New York","Wysteria, Fenara",N,d,List
14598,12,What is least value range in the West coast? ,308-444,308-444,,d,Range
14598,15,List the southern most state with the value in lowest range.,Texas,Ravia,N,d,List
14598,30,Does Iridia have the same value to Junara amongst the states in the south-east region.,No,No,N,d,Binary
14414,12,What is the highest value range in the region around the Great Lakes?,13.2 - 21.1%,13.2% - 21.1%,N,d,Range
14414,16,What value range does state Eloria fall in?,2.9-4.5%,2.9% - 4.5%,N,d,Range
14414,19,Yes or no: the value of Junara is higher than Valara.,Yes,Yes,N,d,Binary
13792,27,Which states bordering Mexico have a value similar to Iridia?,Texas,Ravia,N,c,List
13555,12,What is the highest value range in the east coast region?,2.5-3M,2.5-3M,N,c,Range
13555,36,Name the western-most state in the range 3.5-4M.,California,Eloria,N,c,Single
13555,34,Yes or no: Fenara is the northern most state with value > 1M that has a higher value compared to all its neighbours.,Yes,Yes,Y,c,Binary
13396,12,What value range does Jevana fall in?,<30,80-90,N,c,Range
13396,40,Which pair of states belonging to the range >90 are the closest to each other?,"Mississippi, Alabama","Xivia, Aquilis",N,c,List
13283,35,How many states have a value similar to Ravia?,9,2,N,c,Count
13283,12,What is the least value range in the west coast region?,0-2M,0-2M,N,c,Range
13283,16,What value range does state Fenara fall in?,10-12 M,10M - 12M,N,c,Range
13283,11,Which states along the Mexico border belong to the range 10-12M?,Texas,Ravia,N,c,List
13283,32,Yes or no: Eloria is an outlier compared to other states in the west coast region.,Yes,Yes,N,c,Binary
12788,35,How many states along the Canada border have value similar to Cirrus,Nevada,3,N,d,Count
12788,40,Which pair of states belonging to the highest range are the closest to each other along the Mexico border?,"California, Texas","Eloria, Ravia",N,d,List
12430,35,How may states bordering Ravia have a value similar to Bivana?,"Florida, New York, Pennsylvania",3,Y,d,Count
12430,16,Which value range does Folium fall in?,Utah,245-514,N,d,Range
12430,36,Name the northern-most state in the range 40-243.,Alaska,Bexley,N,d,Single
12319,35,How many states bordering Folium have a value similar to Xanara?,6,3,Y,d,Count
12319,15,List the states bordering Aquilis with the highest values.,"Mississippi, Georgia, Florida","Junara, Xivia, Pulsera",Y,d,List
12319,42,"Yes/No: Isolara has a higher value than Eloria, and also a similar value as Iridia.",Yes,Yes,N,d,Binary
12175,35,How many states bordering Canada have a value similar to Ravia?,1,1,N,d,Count
12175,20,Name the westernmost state that has a higher value than all its neighbours.,California,Eloria,,d,Single
11719,35,How many states bordering Yalora have a value similar to Gibralta?,2,2,Y,d,Count
11719,16,What value range does state Iridia fall in?,1.6-2.3%,1.6-2.3%,N,d,Range
11719,22,Yes or no: States on west coast have higher values on average than states on the east coast.,No,No,N,d,Binary
11349,33,Yes or no: Eloria and Kryon are the pair of bordering states with the highest difference.,No,No,Y,d,Binary
11274,35,How many states bordering Canada have a value similar to Ravia?,1,1,N,d,Count
11274,13,Which state has the second highest value in the west coast region?,Washington,Valara,N,d,Single
11274,11,"Which states along the Mexico border belong to range 249,100 - 809,600?",No,"Eloria, Ravia",N,d,List
10436,28,Which state bordering Evoria has the same value as Zolara?,Nevada,Sirona,Y,d,List
10436,9,Does Fenara fall in range above 20%?,Yes,Yes,N,d,Binary
10121,12,What is the second least value range in the west coast region?,161-390,161-390,N,d,Range
10121,20,Name the western-most state that belongs to a similar value range compared to atleast 2 of its neighbours.,Nevada,Bivana,Y,d,Single
9685,17,Count the states with the values in range 5.0%-8.4% on the west caost.,"Arizona, New Mexico",2,N,d,Count
9685,16,What value range does Eloria fall in?,8.7-14.6%,8.7-14.6%,N,d,Range
9447,16,What value range does state Adoria fall in?,12610 - 28430,12610 - 28430,N,d,Range
9071,13,Which state has the highest value in the west coast region?,No,Eloria,N,d,Single
8808,12,What is the highest value range in the west coast region?,1937-6710,1937-6710,N,d,Range
8808,36,Name the Northern most state in the range 550-1094.,Minnesota,Wysteria,N,d,Single
8808,20,Name the North most state that belongs to a higher value range compared to all its neighbours.,Washington,Valara,Y,d,Single
8808,21,Yes or no: state Junara has the highest value in the south east region.,No,No,N,d,Binary
8616,31,Yes or no: a majority of states bordering Canada belong to range less than 4M.,Yes,Yes,N,c,Binary
8576,12,What is the highest value range along Mexico border?,143202-296255,143202-296255,N,d,Range
8543,12,What is the least value range among the states bordering Cirrus?,0%,0%,Y,d,Range
8543,20,Name the northern most state that belongs to a similar value range compared to all its neighbours.,Michigan,Vorana,Y,d,Single
8543,40,Name a pair of states belonging to the second highest range are the closest to each other?,"Vermont, Rhode Island","Terrana, Mystara",N,d,List
8543,31,Yes or no: a majority of states bordering Mexico belong to range 97-100%.,Yes,Yes,N,d,Binary
8391,26,Which states along the Mexico border have a value higher than Valara?,Yes,"Eloria, Ravia",N,c,List
8213,11,Which states bordering Mexico belong to range > 0.3?,Texas,Ravia,N,c,List
8213,21,Yes or no: Uvera has the least value in the east coast region.,Yes,Yes,N,c,Binary
8083,22,Yes or no: States bordering lake Superior have a higher value on average than states bordering Mexico.,No,No,N,d,Binary
7729,35,How many states on the Canada border have a value similar to Eloria?,2,2,N,c,Count
7729,12,What is the lowest value range among the states bordering Lake Superior?,0.2-0.22,0.2-0.22,N,c,Range
7444,35,How many states bordering Mexico have a value higher than Valara?,1,1,N,d,Count
7432,16,What value range does Kryon fall in?,3.50%,3.50%,N,d,Range
7299,15,Which state bordering the Great Lakes region has the lowest value?,Minnesota,Wysteria,N,d,List
6617,16,Between which two legend markings does Adoria fall?,0.6-0.8,0.6-0.8,N,c,Range
6617,9,Does Sirona fall in range below 0.8?,Yes,Yes,N,c,Binary
6616,35,How many states bordering Eloria have a value similar to Glacia?,"Nevada, Oregon",2,Y,d,Count
6616,16,What value range does state Nacara fall in?,39.4 - 43.7%,39.4 - 43.7%,N,d,Range
6616,20,Name the southern-most state that belongs to a similar value range compared to all its neighbours.,Florida,Iridia,Y,d,Single
6616,27,Which states bordering Mexico have a value higher than Pallax?,"California, Texas, New Mexico","Eloria, Ravia, Evoria",N,d,List
6616,21,Yes or no: Lavara has higher value as Folium.,No,No,N,d,Binary
5931,36,Name the state in the northeast in the range 50-55.,West Virginia,Wixalia,N,c,Single
5327,12,What is the least value range among the states bordering Lake Superior?,276-373,276-373,N,d,Range
4270,16,What value range does Fenara fall in?,1603-1819,1603-1819,N,d,Range
4270,28,Which state bordering Folium has the same value as Ravia?,Arizona,Cirrus,Y,d,List
4270,39,Yes or no: all states bordering Ravia have values in the same range.,No,No,Y,d,Binary
3689,26,Which states along the Canada border have a value similar to Iridia?,New York,Fenara,N,d,List
2453,35,How many states bordering Yalora have a value similar to Gibralta?,3,3,Y,d,Count
2453,12,What is the least value range along the Canada border?,55.1-60.3%,55.1-60.3%,N,d,Range
2453,36,Name the western most state in the highest range.,Utah,Sirona,N,d,Single
2453,26,Which states along the Mexico border have a value lower than Valara?,"Arizona, New Mexico, and Texas","Cirrus, Evoria, and Ravia",N,d,List
2453,22,Yes or no: States on Canada border have higher values on average than states on the east coast.,No,No,N,d,Binary
2181,36,Which is the Southern most state with a value in the range 35-63?,Mississippi,Xivia,N,d,Single
1950,16,What value range does Valara fall in?,2-4,2-4,N,d,Range
1950,30,Does Iridia have the most different value than Seraphine amongst the eastern coast states.,Yes,Yes,N,d,Binary
1347,42,Yes/No: Seraphine has a higher value than Wixalia and also have a higher value than Folium.,No,No,N,d,Binary
1342,12,What is the highest value range in the Canada bordering region?,3.3-4.9%,3.3-4.9%,N,d,Range
1280,13,Which state has the second highest value along the Canada border?,Washington,Valara,N,d,Single
1280,36,Name the N-most state in the range 14-15.9%.,Idaho,Lavara,N,d,Single
1280,15,List the state without any international border with the highest value.,Missouri,"Yalora, Bivana",N,d,List
1280,42,Yes/No: Quixote has a similar value as Ulanara and also have a similar value as Moxie.,Yes,Yes,N,d,Binary
1267,13,Which state has the highest value in the west coast region?,California,Eloria,N,c,Single
1220,20,Name the northern most state that belongs to a higher range compared to all its neighbours.,New York,Fenara,Y,d,Single
1220,27,Which state bordering the Great Lakes have a value similar to Ravia?,New York,Fenara,N,d,List
1220,33,Yes or no: Sirona and Cirrus are the pair of bordering states with the highest difference.,No,No,Y,d,Binary
1136,36,Name the West-most state in the range 42-93%.,Utah,Sirona,N,d,Single
1034,36,Name the Northmost state in the range 0.4-0.45.,Minnesota,Wysteria,N,c,Single
1034,20,Name the Southmost state that belongs to a higher value range compared to all its neighbours.,Florida,Iridia,Y,c,Single
1034,21,Yes or no: Wysteria has the highest value along the Canada border.,Yes,Yes,N,c,Binary
957,28,Which state in the west coast region has the same value to state Moxie?,"California, Washington","Eloria, Valara",N,c,List
957,39,Yes or no: all states bordering Glacia have values in the same range.,No,No,Y,c,Binary
930,40,Which pair of states belonging to the range >200k are the closest to each other?,,Mystara and Gibralta.,N,d,List
910,13,Which state has the leasest value in the west coast region?,California,Eloria,N,c,Single
910,26,Which states on the east coast have a value lower than 0.015?,Virginia,Ulanara,N,c,List
910,18,Yes or no: the value of Eloria is higher than the state Fenara,No,No,N,c,Binary
689,16,What value range does Vorana fall in?,1721-3099,1721-3099,N,d,Range
488,12,What is the highest value range in the northeast region?,35-41,27-34,N,d,Range
488,36,Name the western most state in the range 44-57.,Utah,Sirona,N,d,Single
488,28,Which states bordering Halcyon has the same value as Glacia?,"Montana, South Dakota, Minnesota","Zolara, Oriana, Wysteria",Y,d,List
340,11,Which states along the Mexico border belong to range 5-7%?,"California, Texas, New Mexico, Louisiana","Eloria, Ravia, Evoria",N,d,List
340,19,Yes or no: the value of Folium is higher than Fenara.,No,No,N,d,Binary
200,36,Name the Southern most state in the range 10-12k.,Texas,Iridia,N,c,Single
200,20,Name the western-most state that belongs to a different value range compared to all its neighbours.,California,Eloria,Y,c,Single
200,15,List the 2 states bordering Eloria with similar values.,"Alaska, Oregon","Bivana, Kryon",Y,c,List
200,9,Does Fenara state fall in the range 8-10k?,Yes,Yes,N,c,Binary
109,20,Name the Southern-most state that belongs to a similar value range compared to all its neighbours.,Alabama,Nexus,Y,d,Single
104,12,What is the highest value range in the region aroung the Great Lakes?,14.8 - 25.3,14.8 - 25.3,N,d,Range
104,36,Name the N-most state in the range 6.8-10.5.,Maine,Seraphine,N,d,Single
104,11,Which states in the west coast region belong to the second highest range?,"Washington, Oregon","Valara, Kryon",N,d,List
104,30,Does Lavara have the same value as Xanara.,Yes,Yes,N,d,Binary
98,12,What is the second highest value range in the legend?,3-3.5M,2.5M - 3M,N,c,Range
98,16,What value range does state Wixalia fall in?,< 0.5M,< 0.5M,N,c,Range
98,42,Yes/No: Glacia has a similar value as Vorana and also have a similar value as Eloria.,No,No,N,c,Binary
65,23,How many states bordering Lake Vorana have a value higher than 50k?,0,0,N,c,Count
65,13,Which state has the second highest value in the west coast region?,Washington,Valara,N,c,Single
65,36,Name the northern most state in the range 50-60k.,New York,Fenara,N,c,Single
65,11,Which states in west coast region belong to range > 60k?,California,Eloria,N,c,List
65,9,Does state Zolara fall in range 0-10k?,Yes,Yes,N,c,Binary
56,16,What value range does state Xanara fall in?,1500-2000,1500-2000,N,d,Range
56,31,Yes or no: a majority of states bodering Canada belong to range 1500-2000.,Yes,Yes,N,d,Binary
49,23,How many states bordering Lake Erie have a value higher than 500K?,1,1,N,c,Count
49,35,How many states bordering Ravia have a value similar to state Nexus?,3,4,Y,c,Count
49,11,Which states in the north-east region belong to range 500-600k?,New York,Fenara,N,c,List
49,39,Yes or no: all states bordering Canada have values below 100K.,No,No,N,c,Binary
33,27,Which states bordering Bivana have a value higher than state Lavara?,"California, Oregon","Eloria, Kryon",Y,d,List
33,31,Yes or no: All the states bodering Xivia belong to range 119-160.,Yes,Yes,N,d,Binary
30,11,Which states bordering the Great Lakes belong to the range 74400-93200?,Illinois,Moxie,N,d,List
19,36,Which is the Northern most state with a value in the highest range?,New York,Fenara,N,d,Single
13,9,Does Seraphine fall in the lowest range?,No,No,N,c,Binary
9,35,How many states bordering Mexico have a value similar to Lavara?,1,1,N,c,Count
9,20,Name the N-most state that belongs to a higher value range compared to all its neighbours.,New York,Fenara,Y,c,Single
7,35,How many states have a value similar to Ravia?,4,4,N,d,Count
7,18,Yes or no: the value of Junara is higher than its neighbouring state Nexus.,No,No,N,d,Binary
5,16,What value range does state Ravia fall in?,20M - 30M,20M - 30M,N,c,Range
5,19,Yes or no: the value of the state Iridia is similar to state Seraphine.,No,No,N,c,Binary
4,28,Which states in the west coast has the same value as Rumina?,California and Oregon,"Eloria, Kryon",N,c,List
4,22,Yes or no: States bordering Canada have lower values on average than states bordering Mexico.,Yes,Yes,N,c,Binary
