map_no,template_no,question,ground_truth,verified answer,c_or_d,relative_region (y/n),
20517,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
20517,16,What value range does state Maine fall in?,8.2% - 10.4%,8.2% - 10.4%,,N,
19332,15,Which state on the West Coast has the highest value?,Oregon,Oregon,d,N,
19332,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
19332,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,Yes,,N,
19332,19,Yes or no: the value of  Florida is higher than Maine.,Yes,Yes,,N,
19332,21,Yes or no: Oregon has the least value along the west coast.,Yes,No,,N,
19332,20,Name the westmost state that belongs to a higher value range compared to all its neighbours.,Idaho,Idaho,,Y,
19332,35,How many states along the east coast have a value similar to California?,7,6,,N,
19332,18,Yes or no: the value of the state California is higher than its neighbouring state Oregon.,No,No,,N,
19332,36,Name the southern-most state in the range 950-1400.,Utah,Utah,,N,
19332,31,Yes or no: a majority of states in bordering Texas belong to range 950-1400.,No,No,,Y,
19332,4,What value range does the lightest shade represent?,2980-6320,2980 - 6320,,N,
18501,15,Which state on the east coast has the highest value?,"New York ,Florida","New York, Florida",d,N,
18501,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
18501,4,What value range does the second lightest shade represent?,64200-131600,64200 - 131600,,N,
18501,41,Are the legends evenly spaced?,No,No,,N,
18501,28,Which state along the Mexico border has the same value as Idaho?,New Mexico,New Mexico,,N,
18501,22,Yes or no: States bordering the Great Lakes have lower values on average than states bordering Great Salt Lake.,No,No,,N,
18501,27,Which states in the east coast region have a value same as Texas?,"New York, Florida","New York, Florida",,N,
18501,42,Yes/No: New York has a higher value than West Virginia and also have a higher value than Colorado.,Yes,Yes,,N,
18501,9,Does South Carolina fall in the range 138100-228700?,No,No,,N,
18501,35,How many states bordering Canada have a value similar to Texas?,1,1,,N,
340,8,Which class has the largest range of values?,5-7%,5% - 7%,d,N,
340,19,Yes or no: the value of Colorado is higher than New York.,No,No,,N,
340,19,Yes or no: the value of  Florida is lower than Texas.,Yes,Yes,,N,
340,41,Are the legends evenly spaced?,No,No,,N,
340,22,Yes or no: States bordering Texas have similar values on average to states bordering Louisiana.,Yes,Yes,,Y,
340,11,Which states along the Mexico border belong to range 5-7%?,"California, Texas, New Mexico, Louisiana","California, Texas, New Mexico",,N,
340,11,Which states along the Canada border belong to range 5-7%?,Montana,"Montana, New York",,N,
340,33,Yes or no: New Mexico and Colorado are the pair of bordering states along the West Coast with the highest difference.,No,No,,N,
340,29,Which range has the least number of states?,2%,2%,,N,
340,21,Yes or no: California has the highest value along the west coast.,Yes,Yes,,N,
340,43,"Rank the states California, Oregon, and Alaska in terms of the legend value in the West Coast region?",Alaska < Oregon < California,Alaska < Oregon < California,,Y,
18402,18,Yes or no: the value of the state New Hampshire is higher than its neighbouring state Vermont.,Yes,Yes,c,N,
18402,15,Which state along the Canada border region has the lowest value?,New Hampshire,Maine,,N,
18402,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
18402,42,Yes/No: California has a similar value as Florida and also have a higher value than Maine.,No,No,,N,
18402,12,What is the least value range in the west coast region?,<0.05,<0.05,,N,
18402,28,Which state along the Canada border has the same value as Arkansas?,"Maine, North Dakota, Vermont",North Dakota,,N,
18402,26,Which states along the Mexico border have value lower than 0.05?,Continuous,"California, Arizona, Texas",,N,
18402,16,What value range does state Wisconsin fall in?,0.15 -0.2,0.15 - 0.2,,N,
18402,6,Yes or no: the map depicts percentages.,No,No,,N,
18402,18,Yes or no: the value of North Carolina is similar to its neighbouring state South Carolina.,No,No,,N,
16686,15,Which state on the Canada border has the highest value?,Minnesota,Minnesota,d,N,
16686,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
16686,5,Yes or no: the legend has different shades of the same colour?,No,No,,N,
16686,37,Which states along the west coast in range 6-8% borders only one state from range 6-8%?,"California, Washington","California, Washington",,Y,
16686,36,Name the Northmost state in the highest range.,Alaska,Alaska,,N,
16686,3,What is the overall range of the legend?,6-18%,6% - 18%,,N,
16686,4,What value range does the darkest shade represent?,13-18%,13% - 18%,,N,
16686,1,How many distinct categories does the legend contain?,5,5,,N,
16686,32,Yes or no: Washinton is an outlier compared to other states in the west coast.,No,No,,N,
16686,30,Does state California have the same value as Oregon amongst the states in the west coast region.,Yes,Yes,,N,
20746,18,Yes or no: the value of the state South Dakota is lower than its neighbouring state Montana.,Yes,No,c,N,
20746,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
20746,36,Which is the westernmost state with a value in the range 0.1-0.2?,Idaho,California,,N,
20746,36,Which is the northern most state with a value in the range 0.4-0.5?,Montana,Montana,,N,
20746,16,What value range does state North Dakota fall in?,0.8-0.9,0.8-0.9,,N,
20746,34,Yes or no: Maine is the northmost state that has a similar value compared to all its neighbours.,No,No,,Y,
20746,26,Which states bordering the Great Lakes have a value in the range 0.7-0.8?,Minnesota,Minnesota,,N,
20746,31,Yes or no: a majority of states in the west coast region belong to range 0.1-0.2.,Yes,Yes,,N,
20746,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
20746,15,List the state bordering Canada with the highest value.,North Dakota,North Dakota,,N,
1034,21,Yes or no: Minnesota has the highest value along the Canada border.,Yes,Yes,c,N,
1034,9,Does California fall in range 0.4-0.45?,No,No,,N,
1034,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
1034,27,Which states along the Mexico border have a value similar to Alaska?,None,None,,N,
1034,18,Yes or no: the value of North Dakota is similar to its neighbouring state South Dakota.,Yes,Yes,,N,
1034,37,Which states have missing data?,None,None,,N,
1034,36,Name the Northmost state in the range 0.4-0.45.,Minnesota,Minnesota,,N,
1034,20,Name the Southmost state that belongs to a higher value range compared to all its neighbours.,Florida,Florida,,Y,
1034,33,Yes or no: Texas and Oklahoma are the pair of bordering states with the highest difference.,No,No,,Y,
1034,6,Yes or no: the map depicts percentages.,No,No,,N,
15950,4,What value range does the darkest shade represent?,60-117%,60% - 117%,d,N,
15950,42,Yes/No: Oregon has a higher value than North Dakota and also a higher value than Illinois.,No,No,,N,
15950,35,How many states bordering Florida have a value higher than Minnesota?,0,0,,Y,
15950,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
15950,29,Which range has the highest number of states?,-14.98,0% - 23%,,N,
15950,30,Does Oregon have the same value as Florida.,No,No,,N,
15950,28,Which state bordering Wyoming has the same value as Nevada?,"Montana, Colorado","Montana, Colorado",,Y,
15950,34,Yes or no: North Dakota is the northern most state that has a higher value compared to all its neighbours.,Yes,No,,Y,
15950,9,Does Nevada fall in range 60-117%?,Yes,Yes,,N,
15950,32,Yes or no: California is an outlier compared to other states in the west coast region.,No,No,,N,
14414,7,Is the legend discrete or continuous?,Discrete,Discrete,d,N,
14414,12,What is the highest value range in the region around the Great Lakes?,13.2 - 21.1%,13.2% - 21.1%,,N,
14414,19,Yes or no: the value of Georgia is higher than Washington.,Yes,Yes,,N,
14414,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,,N,
14414,16,What value range does state California fall in?,2.9-4.5%,2.9% - 4.5%,,N,
14414,41,Are the legends evenly spaced?,No,No,,N,
14414,31,Yes or no: a majority of states in the south east region belong to the highest range.,Yes,Yes,,N,
14414,6,Yes or no: the map depicts percentages.,Yes,Yes,,N,
14414,3,What is the overall range of the legend?,-0.551,4.5% - 50.6%,,N,
14414,4,What value range does the second lightest shade represent?,6.7-12.7%,6.7% - 12.7%,,N,srija verification till here
104,11,Which states in the west coast region belong to the highest range?,None,None,d,N,
104,11,Which states in the west coast region belong to the second highest range?,"Washington, Oregon","Washington, Oregon",,N,
104,11,Which states in the west coast region belong to the lowest range?,None,None,,N,
104,11,Which states in the east coast region belong to the highest range?,"Florida, Georgia, New York","Florida, Georgia, New York",,N,
104,15,List the states along the Canada border with the highest values.,New york,New york,,N,
104,36,Name the N-most state in the range 6.8-10.5.,Maine,Maine,,N,
104,3,What is the overall range of the legend?,2.4 - 25.3,2.4 - 25.3,,N,
104,12,What is the highest value range in the region aroung the Great Lakes?,14.8 - 25.3,14.8 - 25.3,,N,
104,37,Which state in the highest range borders at least 1 state with missing data?,Nevada,Nevada,,Y,
104,30,Does Idaho have the same value as Wisconsin.,Yes,Yes,,N,lc
104,43,"Rank the states North Carolina, South Carolina, and Virginia in terms of the legend value in the East Coast region?",South Carolina < Virginia < North Carolina,South Carolina < Virginia < North Carolina,,Y,
10436,9,Does New York fall in range above 20%?,Yes,Yes,d,N,
10436,35,How many states bordering Illinois have a value similar to South Carolina?,1,2,,Y,
10436,28,Which state bordering New Mexico has the same value as Montana?,Nevada,Utah,,Y,
10436,6,Yes or no: the map depicts absolute values.,No,No,,N,
10436,26,Which states along Canada border have a value lower than 13.6%?,"New Hampshire, Montana, North Dakota","New Hampshire, Montana, North Dakota",,N,
10436,39,Yes or no: all states in the west caost region have values in the highest range.,No,No,,N,
10436,18,Yes or no: the value of the Louisiana is similar to its neighbouring state Arkansas.,Yes,Yes,,N,
10436,4,What value range does the darkest shade represent?,10.2-13.6%,10.2-13.6%,,N,
10436,1,How many distinct categories does the legend contain?,4,4,,N,
10436,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,No,,N,lc
13,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,c,N,
13,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
13,9,Does Maine fall in the lowest range?,No,No,,N,
13,16,What value range does state Texas fall in?,0.15-0.2,0.15-0.2,,N,
13,33,Yes or no: Georgia and South Carolina are a pair of bordering states with the highest difference.,No,No,,Y,
13,34,Yes or no: New York is the N-most state that has a higher value compared to all its neighbours.,No,No,,Y,
13,41,Are the legends evenly spaced?,Yes,Yes,,N,
13,27,Which states bordering Mexico have a value similar to Florida?,None,None,,N,
13,21,Yes or no: Maine has the highest value along the Canda border.,No,No,,N,
13,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,lc
13,43,"Rank the states Montana, North Dakota, and Minnesota in terms of the legend value in the Canada Border region?",North Dakota < Minnesota < Montana,North Dakota < Minnesota < Montana,,Y,
9,7,Is the legend discrete or continuous?,Continuous,Continuous,c,N,
9,19,Yes or no: the value of Texas is similar to Minnesota.,No,No,,N,
9,42,Yes/No: New York has a lower value than Maine and also have a higher value than Florida.,No,No,,N,
9,20,Name the N-most state that belongs to a higher value range compared to all its neighbours.,New York,New York,,Y,
9,22,Yes or no: States bordering the Great Lakes have lower values on average than California.,Yes,Yes,,N,
9,37,Which states have missing data?,None,None,,N,
9,35,How many states bordering Mexico have a value similar to Idaho?,1,1,,N,
9,21,Yes or no: Oklahoma has higher value than Maine.,No,No,,N,
9,15,Which state on the Canada border has the highest value?,New York,New York,,N,
9,41,Are the legends evenly spaced?,Yes,Yes,,N,lc
9,43,"Rank the states New York, Florida, and Massachusetts in terms of the legend value in the East Coast region?",Massachusetts < Florida < New York,Massachusetts < Florida < New York,,Y,
910,4,What value range does the darkest shade represent?,>0.035,>0.035,c,N,
910,4,What value range does the lightest shade represent?,<0.015,<0.015,,N,
910,4,What value range does the second lightest shade represent?,0.015-0.02,0.015-0.02,,N,
910,26,Which states on the east coast have a value lower than 0.015?,Virginia,Virginia,,N,
910,26,Which states on the west coast have a value lower than 0.015?,None,None,,N,
910,18,Yes or no: the value of California is higher than its neighbouring state New York,No,No,,N,
910,13,Which state has the leasest value in the west coast region?,California,California,,N,
910,22,Yes or no: States along Canada border have higher values on average than states bordering Mexico.,Yes,Yes,,N,
910,30,Does Nebraska have the same value as Texas.,Yes,Yes,,N,
910,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,,N,lc
910,43,"Rank the states Pennsylvania, New York, and Ohio in terms of the legend value in the Great Lakes region?",Ohio < Pennsylvania < New York,Ohio < Pennsylvania < New York,,Y,
8213,35,How many states bordering California have a value higher than Texas?,0,0,c,Y,
8213,21,Yes or no: Massachusetts has the least value in the east coast region.,Yes,Yes,,N,
8213,11,Which states bordering Mexico belong to range > 0.3?,Texas,Texas,,N,
8213,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
8213,39,Yes or no: all states on the west coast have values above 0.2,Yes,Yes,,N,
8213,9,Does Michigan fall in range 0.25-0.3?,No,No,,N,
8213,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
8213,20,Name the state on the east coast that belongs to a higher value range compared to all its neighbours.,Florida,Florida,,Y,
8213,34,Yes or no: New Mexico is the southern-most state that has a higher value compared to all its neighbours.,No,No,,N,
8213,27,Which states bordering North Dakota have a value similar to Maine?,South Dakota,None,,Y,lc
16717,18,Yes or no: the value of the state Utah is lower than its neighbouring state Colorado.,Yes,Yes,d,N,
16717,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
16717,21,Yes or no: Washington has the same value as Texas.,No,No,,N,
16717,42,Yes/No: Maine has a similar value as Alabama and also have a similar value as Kansas.,Yes,Yes,,N,
16717,41,Are the legends evenly spaced?,No,No,,N,
16717,33,Yes or no: Idaho and Florida are the pair of bordering states with the highest difference.,No,No,,Y,
16717,16,What value range does Florida fall in?,380-698,380-698,,N,
16717,29,Which range has the least number of states?,730-1145,"730-1145, 380-698",,N,
16717,15,List the state(s) in the west coast region with the highest value.,California,California,,N,
16717,1,How many distinct categories does the legend contain?,5,5,,N,lc
1280,42,Yes/No: Kentucky has a similar value as Virginia and also have a similar value as Illinois.,Yes,Yes,d,N,
1280,3,What is the overall range of the legend?,6.8% - 15.9%,6.8% - 15.9%,,N,
1280,34,Yes or no: Minnesota is the northern-most state that has a similar value compared to all its neighbours.,Yes,Yes,,Y,
1280,4,What value range does the darkest shade represent?,14-15.9%,14-15.9%,,N,
1280,4,What value range does the lightest shade represent?,6.8-9.7%,6.8-9.7%,,N,
1280,1,How many distinct categories does the legend contain?,4,4,,N,
1280,36,Name the N-most state in the range 14-15.9%.,Idaho,Idaho,,N,
1280,15,List the state without any international border with the highest value.,Missouri,Missouri,,N,
1280,13,Which state has the second highest value along the Canada border?,Washington,Washington,,N,
1280,11,Which states bordering Mexico belong to range 9.9-11.8%?,California,California,,N,lc
1280,43,"Rank the states New York, Pennsylvania, and New Jersey in terms of the legend value in the Atlantic region?",New York < New Jersey < Pennsylvania,New York < New Jersey < Pennsylvania,,Y,
8543,12,What is the least value range among the states bordering Arizona?,0%,0%,d,Y,
8543,6,Yes or no: the map depicts percentages.,Yes,Yes,,N,
8543,20,Name the northern most state that belongs to a similar value range compared to all its neighbours.,Michigan,Michigan,,Y,
8543,31,Yes or no: a majority of states bordering Mexico belong to range 97-100%.,Yes,Yes,,N,
8543,30,Does Florida have the same value as Texas amongst the southern states.,Yes,Yes,,N,
8543,5,Yes or no: the legend has multiple colours?,Yes,Yes,,N,
8543,41,Are the legends evenly spaced?,No,No,,N,
8543,40,Name a pair of states belonging to the second highest range are the closest to each other?,"Vermont, Rhode Island","Vermont, Rhode Island",,N,
8543,33,Yes or no: North Dakota and Montana are the pair of bordering states with the highest difference.,No,No,,Y,
8543,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,lc
