map_no,template_no,question,ground_truth,verified answer,relative_region (y/n),c_or_d,type
18402,18,Yes or no: the value of the state Minnesota is higher than its neighbouring state Iowa.,Yes,Yes,N,c,Binary
18348,13,Which state has the least value in the west coast?,California,California,N,d,Single
18348,36,Name the southern most state in the range 63.2-74%.,Texas,Connecticut,N,d,Single
18348,27,Which states in the north east region has the similar valua as New Mexico?,"New York, Vermont, Massachusetts, Rhode Island","Oregon, Iowa, Utah, Nevada",N,d,List
18348,32,Yes or no: North Dakota is an outlier compared to other states bordering Canada.,Yes,Yes,N,d,Binary
17383,12,Which states on the east coast has the highest value?,South Carolina,Pennsylvania,N,c,Range
17383,27,Which states in along the southern border have a value higher than Oregon?,"California, Arizona","California, Maryland",N,c,List
17383,32,Yes or no: Oregon is an outlier compared to other states bordering Canada.,No,No,N,c,Binary
16717,35,Count the states belonging to 12-149 range along the Illinois border.,,1,Y,d,Count
16717,15,List the state(s) in the east coast region with the highest value.,California,"Oregon, Texas",N,d,List
16717,16,What value range does New Jersey fall in?,380-698,380-698,N,d,Range
16717,15,List the state(s) in the west coast region with the highest value.,California,California,N,d,List
16686,36,Name the Northmost state in the highest range.,Alaska,Mississippi,N,d,Single
16686,15,Which state on the Canada border has the highest value?,Minnesota,North Dakota,N,d,List
16686,32,Yes or no: Washinton is an outlier compared to other states in the west coast.,No,No,N,d,Binary
16391,35,How many states in the west coast have a value lower than Connecticut?,3,3,N,c,Count
16391,16,What value range does state Michigan fall in?,> 0.22,> 0.22,N,c,Range
16161,15,Which state on the Mexico border has the lowest value?,Texas,Connecticut,N,d,List
15950,35,How many states bordering New Jersey have a value higher than North Dakota?,0,0,Y,d,Count
15950,28,Which state bordering South Dakota has the same value as Massachusetts?,"Montana, Colorado","New Mexico, Virginia",Y,d,List
15950,42,Yes/No: West Virginia has a higher value than Vermont and also a higher value than Illinois.,No,No,N,d,Binary
15641,35,How many states bordering Florida has value in the range 15.6 - 21.8 ?,,6,Y,d,Count
15641,16,What value range the state Indiana fall in ?,,9.1-12.7,N,d,Range
15641,20,Name the western-most state that belongs to a lower value range compared to all its neighbours.,Alaska,California,Y,d,Single
15641,15,Which states bordering Lake Huron have the highest value?,Michigan,Maine,N,d,List
15641,33,Yes or no: South Carolina and Tennessee are the pair of bordering states with the highest difference.,No,No,Y,d,Binary
15117,23,How many states bordering Lake Superior have missing data?,0,0,N,d,Count
15117,35,How many states bordering South Dakota have a value higher than state Utah?,1,1,Y,d,Count
15117,13,Which state has the least value among the states bordering Mexico?,Arizona,Maryland,N,d,Single
15117,30,Does state Tennessee have the same value to state Florida.,Yes,Yes,N,d,Binary
15061,35,How many states along the west coast have a value higher than Oregon?,2,2,N,d,Count
15061,20,Name the southernmost state that belongs to a similar range as all its neighbours.,Ohio,Indiana,Y,d,Single
15061,26,Which states bordering Canada have a value lower than 8200?,"Minnesota, New York","North Dakota, Oregon",N,d,List
14598,35,How many states along the North Dakota border belong to highest range?,,2,Y,d,Count
14598,12,What is the highest range along Ohio border?,308-444,447-554,Y,d,Range
14598,12,What is least value range in the West coast? ,308-444,308-444,,d,Range
14598,15,List the southern most state with the value in lowest range.,Texas,Connecticut,N,d,List
14598,30,Does New Jersey have the same value to Kentucky amongst the states in the south-east region.,No,No,N,d,Binary
14414,12,What is the highest value range in the region around the Great Lakes?,13.2 - 21.1%,13.2% - 21.1%,N,d,Range
14414,16,What value range does state California fall in?,2.9-4.5%,2.9% - 4.5%,N,d,Range
14414,19,Yes or no: the value of Kentucky is higher than Louisiana.,Yes,Yes,N,d,Binary
13792,27,Which states bordering Mexico have a value similar to New Jersey?,Texas,Connecticut,N,c,List
13555,12,What is the highest value range in the east coast region?,2.5-3M,2.5-3M,N,c,Range
13555,36,Name the western-most state in the range 3.5-4M.,California,California,N,c,Single
13555,34,Yes or no: Oregon is the northern most state with value > 1M that has a higher value compared to all its neighbours.,Yes,Yes,Y,c,Binary
13396,12,What value range does Wyoming fall in?,<30,80-90,N,c,Range
13396,40,Which pair of states belonging to the range >90 are the closest to each other?,"Mississippi, Alabama","Wisconsin, Montana",N,c,List
13283,35,How many states have a value similar to Connecticut?,9,2,N,c,Count
13283,12,What is the least value range in the west coast region?,0-2M,0-2M,N,c,Range
13283,16,What value range does state Oregon fall in?,10-12 M,10M - 12M,N,c,Range
13283,11,Which states along the Mexico border belong to the range 10-12M?,Texas,Connecticut,N,c,List
13283,32,Yes or no: California is an outlier compared to other states in the west coast region.,Yes,Yes,N,c,Binary
12788,35,How many states along the Canada border have value similar to Maryland,Nevada,3,N,d,Count
12788,40,Which pair of states belonging to the highest range are the closest to each other along the Mexico border?,"California, Texas","California, Connecticut",N,d,List
12430,35,How may states bordering Connecticut have a value similar to Massachusetts?,"Florida, New York, Pennsylvania",3,Y,d,Count
12430,16,Which value range does Virginia fall in?,Utah,245-514,N,d,Range
12430,36,Name the northern-most state in the range 40-243.,Alaska,Mississippi,N,d,Single
12319,35,How many states bordering Virginia have a value similar to Delaware?,6,3,Y,d,Count
12319,15,List the states bordering Montana with the highest values.,"Mississippi, Georgia, Florida","Kentucky, Wisconsin, Ohio",Y,d,List
12319,42,"Yes/No: Indiana has a higher value than California, and also a similar value as New Jersey.",Yes,Yes,N,d,Binary
12175,35,How many states bordering Canada have a value similar to Connecticut?,1,1,N,d,Count
12175,20,Name the westernmost state that has a higher value than all its neighbours.,California,California,,d,Single
11719,35,How many states bordering Tennessee have a value similar to Nebraska?,2,2,Y,d,Count
11719,16,What value range does state New Jersey fall in?,1.6-2.3%,1.6-2.3%,N,d,Range
11719,22,Yes or no: States on west coast have higher values on average than states on the east coast.,No,No,N,d,Binary
11349,35,How many states along the Massachusetts border has the same value as Florida?,,1,Y,d,Count
11349,33,Yes or no: California and West Virginia are the pair of bordering states with the highest difference.,No,No,Y,d,Binary
11274,35,How many states bordering Canada have a value similar to Connecticut?,1,1,N,d,Count
11274,13,Which state has the second highest value in the west coast region?,Washington,Louisiana,N,d,Single
11274,11,"Which states along the Mexico border belong to range 249,100 - 809,600?",No,"California, Connecticut",N,d,List
10436,35,How many states bordering Illinois have a value similar to Pennsylvania?,1,2,Y,d,Count
10436,12,What is lowest range in the south east region?,,13.7%-17.0%,N,d,Range
10436,28,Which state bordering Washington has the same value as New Mexico?,Nevada,Florida,Y,d,List
10436,9,Does Oregon fall in range above 20%?,Yes,Yes,N,d,Binary
10121,12,What is the second least value range in the west coast region?,161-390,161-390,N,d,Range
10121,20,Name the western-most state that belongs to a similar value range compared to atleast 2 of its neighbours.,Nevada,Massachusetts,Y,d,Single
9685,17,Count the states with the values in range 5.0%-8.4% on the west caost.,"Arizona, New Mexico",2,N,d,Count
9685,16,What value range does California fall in?,8.7-14.6%,8.7-14.6%,N,d,Range
9447,35,How many states bordering New Hampshire belongs to lowest range?,,2,Y,d,Count
9447,16,What value range does state New Hampshire fall in?,12610 - 28430,12610 - 28430,N,d,Range
9071,13,Which state has the highest value in the west coast region?,No,California,N,d,Single
8808,17,Count the states with the values in range 1937-6710 in the east coast region.,2,2,N,d,Count
8808,12,What is the highest value range in the west coast region?,1937-6710,1937-6710,N,d,Range
8808,36,Name the Northern most state in the range 550-1094.,Minnesota,North Dakota,N,d,Single
8808,20,Name the North most state that belongs to a higher value range compared to all its neighbours.,Washington,Louisiana,Y,d,Single
8808,21,Yes or no: state Kentucky has the highest value in the south east region.,No,No,N,d,Binary
8616,31,Yes or no: a majority of states bordering Canada belong to range less than 4M.,Yes,Yes,N,c,Binary
8576,12,What is the highest value range along Mexico border?,143202-296255,143202-296255,N,d,Range
8543,12,What is the least value range among the states bordering Maryland?,0%,0%,Y,d,Range
8543,20,Name the northern most state that belongs to a similar value range compared to all its neighbours.,Michigan,Maine,Y,d,Single
8543,40,Name a pair of states belonging to the second highest range are the closest to each other?,"Vermont, Rhode Island","Iowa, Nevada",N,d,List
8543,31,Yes or no: a majority of states bordering Mexico belong to range 97-100%.,Yes,Yes,N,d,Binary
8391,35,How many states along the Canada border has value less than 0.2 M ?,,6,N,c,Count
8391,16,What value range California fall in?,,1.4M - 1.6M,N,c,Range
8391,26,Which states along the Mexico border have a value higher than Louisiana?,Yes,"California, Connecticut",N,c,List
8213,35,How many states bordering California have a value higher than Connecticut?,0,0,Y,c,Count
8213,12,What is the highest range along the Michigan borders?,,0.25-0.3,Y,c,Range
8213,20,Name the state on the east coast that belongs to a higher value range compared to all its neighbours.,Florida,New Jersey,Y,c,Single
8213,11,Which states bordering Mexico belong to range > 0.3?,Texas,Connecticut,N,c,List
8213,21,Yes or no: Utah has the least value in the east coast region.,Yes,Yes,N,c,Binary
8083,22,Yes or no: States bordering lake Superior have a higher value on average than states bordering Mexico.,No,No,N,d,Binary
7729,35,How many states on the Canada border have a value similar to California?,2,2,N,c,Count
7729,12,What is the lowest value range among the states bordering Lake Superior?,0.2-0.22,0.2-0.22,N,c,Range
7444,35,How many states bordering Mexico have a value higher than Louisiana?,1,1,N,d,Count
7432,16,What value range does West Virginia fall in?,3.50%,3.50%,N,d,Range
7299,15,Which state bordering the Great Lakes region has the lowest value?,Minnesota,North Dakota,N,d,List
6617,16,Between which two legend markings does New Hampshire fall?,0.6-0.8,0.6-0.8,N,c,Range
6617,9,Does Florida fall in range below 0.8?,Yes,Yes,N,c,Binary
6616,35,How many states bordering California have a value similar to North Carolina?,"Nevada, Oregon",2,Y,d,Count
6616,16,What value range does state Arkansas fall in?,39.4 - 43.7%,39.4 - 43.7%,N,d,Range
6616,20,Name the southern-most state that belongs to a similar value range compared to all its neighbours.,Florida,New Jersey,Y,d,Single
6616,27,Which states bordering Mexico have a value higher than Rhode Island?,"California, Texas, New Mexico","California, Connecticut, Washington",N,d,List
6616,21,Yes or no: Michigan has higher value as Virginia.,No,No,N,d,Binary
5931,36,Name the state in the northeast in the range 50-55.,West Virginia,Alaska,N,c,Single
5327,12,What is the least value range among the states bordering Lake Superior?,276-373,276-373,N,d,Range
5000,35,Count the number of states along Rhode Island border in the range 0.34-0.36,,1,Y,c,Count
5000,27,Which states bordering Canada have a value similar to Florida?,Maine,Oklahoma,N,c,List
4270,35,How many states along the Washington border belongs to highest range?,,3,Y,d,Count
4270,16,What value range does Oregon fall in?,1603-1819,1603-1819,N,d,Range
4270,28,Which state bordering Virginia has the same value as Connecticut?,Arizona,Maryland,Y,d,List
4270,39,Yes or no: all states bordering Connecticut have values in the same range.,No,No,Y,d,Binary
3689,26,Which states along the Canada border have a value similar to New Jersey?,New York,Oregon,N,d,List
2769,17,Count the states with the values in range 3%-7% in the east coast.,"New York, New Jersey, Rhode Island",4,N,d,Count
2632,20,Name the state along the New Jersey border the lowest value,,Montana,Y,c,Single
2632,26,Which states bordering Indiana has value less than 50k?,,"Hawaii, Alaska",Y,c,List
2453,35,How many states bordering Tennessee have a value similar to Nebraska?,3,3,Y,d,Count
2453,12,What is the least value range along the Canada border?,55.1-60.3%,55.1-60.3%,N,d,Range
2453,36,Name the western most state in the highest range.,Utah,Florida,N,d,Single
2453,26,Which states along the Mexico border have a value lower than Louisiana?,"Arizona, New Mexico, and Texas","Maryland, Washington, and Connecticut",N,d,List
2453,22,Yes or no: States on Canada border have higher values on average than states on the east coast.,No,No,N,d,Binary
2181,36,Which is the Southern most state with a value in the range 35-63?,Mississippi,Wisconsin,N,d,Single
2024,35,How many states bordering Canada have a value lower than Washington?,6,6,N,d,Count
2024,16,What value range does Minnesota fall in?,10.6-12.5%,10.6-12.5%,N,d,Range
2024,20,Name the eastern-most state that belongs to a higher value range compared to all its neighbours.,New Hampshire,Minnesota,Y,d,Single
1950,16,What value range does Louisiana fall in?,2-4,2-4,N,d,Range
1950,30,Does New Jersey have the most different value than Oklahoma amongst the eastern coast states.,Yes,Yes,N,d,Binary
1347,42,Yes/No: Oklahoma has a higher value than Alaska and also have a higher value than Virginia.,No,No,N,d,Binary
1342,12,What is the highest value range in the Canada bordering region?,3.3-4.9%,3.3-4.9%,N,d,Range
1280,13,Which state has the second highest value along the Canada border?,Washington,Louisiana,N,d,Single
1280,36,Name the N-most state in the range 14-15.9%.,Idaho,Michigan,N,d,Single
1280,15,List the state without any international border with the highest value.,Missouri,"Tennessee, Massachusetts",N,d,List
1280,42,Yes/No: Hawaii has a similar value as Kansas and also have a similar value as Illinois.,Yes,Yes,N,d,Binary
1267,13,Which state has the highest value in the west coast region?,California,California,N,c,Single
1220,20,Name the northern most state that belongs to a higher range compared to all its neighbours.,New York,Oregon,Y,d,Single
1220,27,Which state bordering the Great Lakes have a value similar to Connecticut?,New York,Oregon,N,d,List
1220,33,Yes or no: Florida and Maryland are the pair of bordering states with the highest difference.,No,No,Y,d,Binary
1136,36,Name the West-most state in the range 42-93%.,Utah,Florida,N,d,Single
1034,36,Name the Northmost state in the range 0.4-0.45.,Minnesota,North Dakota,N,c,Single
1034,20,Name the Southmost state that belongs to a higher value range compared to all its neighbours.,Florida,New Jersey,Y,c,Single
1034,21,Yes or no: North Dakota has the highest value along the Canada border.,Yes,Yes,N,c,Binary
957,35,How many states in the west coast have value lower than Washington?,,3,N,c,Count
957,12,What is the highest value range along the Connecticut border?,,>0.55,Y,c,Range
957,28,Which state in the west coast region has the same value to state Illinois?,"California, Washington","California, Louisiana",N,c,List
957,39,Yes or no: all states bordering North Carolina have values in the same range.,No,No,Y,c,Binary
930,40,Which pair of states belonging to the range >200k are the closest to each other?,,Nevada and Nebraska.,N,d,List
910,13,Which state has the leasest value in the west coast region?,California,California,N,c,Single
910,26,Which states on the east coast have a value lower than 0.015?,Virginia,Kansas,N,c,List
910,18,Yes or no: the value of California is higher than the state Oregon,No,No,N,c,Binary
689,16,What value range does Maine fall in?,1721-3099,1721-3099,N,d,Range
488,12,What is the highest value range in the northeast region?,35-41,27-34,N,d,Range
488,36,Name the western most state in the range 44-57.,Utah,Florida,N,d,Single
488,28,Which states bordering Vermont has the same value as North Carolina?,"Montana, South Dakota, Minnesota","New Mexico, Colorado, North Dakota",Y,d,List
340,35,How many states in the south east region belongs to range 4% ?,,3,N,d,Count
340,12,What is the lowest range in the south east region ?,,4%,N,d,Range
340,11,Which states along the Mexico border belong to range 5-7%?,"California, Texas, New Mexico, Louisiana","California, Connecticut, Washington",N,d,List
340,19,Yes or no: the value of Virginia is higher than Oregon.,No,No,N,d,Binary
200,35,How many states in the east coast has value similar to Connecticut?,,2,N,c,Count
200,16,What value range California fall in?,,12k-14k,Y,c,Range
200,36,Name the Southern most state in the range 10-12k.,Texas,New Jersey,N,c,Single
200,20,Name the western-most state that belongs to a different value range compared to all its neighbours.,California,California,Y,c,Single
200,15,List the 2 states bordering California with similar values.,"Alaska, Oregon","Massachusetts, West Virginia",Y,c,List
200,9,Does Oregon state fall in the range 8-10k?,Yes,Yes,N,c,Binary
109,20,Name the Southern-most state that belongs to a similar value range compared to all its neighbours.,Alabama,Pennsylvania,Y,d,Single
104,12,What is the highest value range in the region aroung the Great Lakes?,14.8 - 25.3,14.8 - 25.3,N,d,Range
104,36,Name the N-most state in the range 6.8-10.5.,Maine,Oklahoma,N,d,Single
104,11,Which states in the west coast region belong to the second highest range?,"Washington, Oregon","Louisiana, West Virginia",N,d,List
104,30,Does Michigan have the same value as Delaware.,Yes,Yes,N,d,Binary
98,12,What is the second highest value range in the legend?,3-3.5M,2.5M - 3M,N,c,Range
98,16,What value range does state Alaska fall in?,< 0.5M,< 0.5M,N,c,Range
98,42,Yes/No: North Carolina has a similar value as Maine and also have a similar value as California.,No,No,N,c,Binary
65,23,How many states bordering Lake Maine have a value higher than 50k?,0,0,N,c,Count
65,13,Which state has the second highest value in the west coast region?,Washington,Louisiana,N,c,Single
65,36,Name the northern most state in the range 50-60k.,New York,Oregon,N,c,Single
65,11,Which states in west coast region belong to range > 60k?,California,California,N,c,List
65,9,Does state New Mexico fall in range 0-10k?,Yes,Yes,N,c,Binary
56,16,What value range does state Delaware fall in?,1500-2000,1500-2000,N,d,Range
56,31,Yes or no: a majority of states bodering Canada belong to range 1500-2000.,Yes,Yes,N,d,Binary
49,23,How many states bordering Lake Erie have a value higher than 500K?,1,1,N,c,Count
49,35,How many states bordering Connecticut have a value similar to state Pennsylvania?,3,4,Y,c,Count
49,11,Which states in the north-east region belong to range 500-600k?,New York,Oregon,N,c,List
49,39,Yes or no: all states bordering Canada have values below 100K.,No,No,N,c,Binary
33,27,Which states bordering Massachusetts have a value higher than state Michigan?,"California, Oregon","California, West Virginia",Y,d,List
33,31,Yes or no: All the states bodering Wisconsin belong to range 119-160.,Yes,Yes,N,d,Binary
30,35,How many states in the east belongs to highest range ?,,2,N,d,Count
30,11,Which states bordering the Great Lakes belong to the range 74400-93200?,Illinois,Illinois,N,d,List
19,35,Count the number of states in the lowest range along the West Virginia border?,,2,Y,d,Count
19,36,Which is the Northern most state with a value in the highest range?,New York,Oregon,N,d,Single
13,9,Does Oklahoma fall in the lowest range?,No,No,N,c,Binary
9,35,How many states bordering Mexico have a value similar to Michigan?,1,1,N,c,Count
9,20,Name the N-most state that belongs to a higher value range compared to all its neighbours.,New York,Oregon,Y,c,Single
7,35,How many states have a value similar to Connecticut?,4,4,N,d,Count
7,18,Yes or no: the value of Kentucky is higher than its neighbouring state Pennsylvania.,No,No,N,d,Binary
5,16,What value range does state Connecticut fall in?,20M - 30M,20M - 30M,N,c,Range
5,19,Yes or no: the value of the state New Jersey is similar to state Oklahoma.,No,No,N,c,Binary
4,20,Which is western most state in the highest range?,,Massachusetts,N,c,Single
4,28,Which states in the west coast has the same value as Missouri?,California and Oregon,"California, West Virginia",N,c,List
4,22,Yes or no: States bordering Canada have lower values on average than states bordering Mexico.,Yes,Yes,N,c,Binary
